country,Country_Name,IFS,income,Area,G20,Reference currency,EU,CEMAC,WAEMU ,ECCU,HARD PEG to USD,HARD PEG TO EURO,HARD PEG TO AUS DOLLAR,HARD PEG TO STH AFR RAND,HARD PEG TO INDIAN RUPEE,HARD PEG TO...,Managed,RESERVES POLICY
Brazil,Brazil,223,EM,WHD,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Brunei Darussalam,Brunei,516,EM,APD,0,USD,0,0,0,0,1,0,0,0,1,1,0,1
Bulgaria,Bulgaria,918,EM,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,1
Burkina Faso,Burkina Faso,748,LIC,AFR,0,EUR,0,0,1,0,0,1,0,0,0,1,0,0
Burundi,Burundi,618,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Cambodia,Cambodia,522,LIC,APD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Cameroon,Cameroon,622,LIC,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,0
Canada,Canada,156,AE,WHD,1,USD,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,Cape Verde,624,EM,AFR,0,EUR,0,0,0,0,0,1,0,0,0,1,0,1
Central African Republic,CAR,626,LIC,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,0
Chad,Chad,628,LIC,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,0
Chile,Chile,228,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
China,China,924,EM,APD,1,USD,0,0,0,0,0,0,0,0,0,0,1,1
Colombia,Colombia,233,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Comoros,Comoros,632,LIC,AFR,0,EUR,0,0,0,0,0,1,0,0,0,1,0,1
"Congo, Dem. Rep. of",RDC,636,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,0
"Congo, Republic of",Congo,634,LIC,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,0
Costa Rica,Costa Rica,238,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Côte d'Ivoire,Côte d'Ivoire,662,LIC,AFR,0,EUR,0,0,1,0,0,1,0,0,0,1,0,0
Croatia,Croatia,960,AE,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,0
Cyprus,Cyprus,423,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Czech Republic,Czech Republic,935,AE,EUR,0,EUR,1,0,0,0,0,0,0,0,0,0,0,1
Denmark,Denmark,128,AE,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,0
Djibouti,Djibouti,611,LIC,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Dominica,Dominica,321,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
Dominican Republic,Dominican Rep,243,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Ecuador,Ecuador,248,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Egypt,Egypt,469,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
El Salvador,El Salvador,253,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Equatorial Guinea,Equatorial Guinea,642,EM,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,1
Eritrea,Eritrea,643,LIC,AFR,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Estonia,Estonia,939,AE,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,0
Ethiopia,Ethiopia,644,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Fiji,Fiji,819,EM,APD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Finland,Finland,172,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
France,France,132,AE,EUR,1,USD,1,0,0,0,0,1,0,0,0,1,0,0
French Polynesia,French Polynesia,887,EM,APD,0,USD,0,0,0,0,0,1,0,0,0,1,0,0
Gabon,Gabon,646,EM,AFR,0,EUR,0,1,0,0,0,1,0,0,0,1,0,1
"Gambia, The",Gambia,648,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Georgia,Georgia,915,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Germany,Germany,134,AE,EUR,1,USD,1,0,0,0,0,1,0,0,0,1,0,0
Ghana,Ghana,652,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Greece,Greece,174,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Grenada,Grenada,328,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
Guatemala,Guatemala,258,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Guinea,Guinea,656,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Guinea-Bissau,Guinea-Bissau,654,LIC,AFR,0,EUR,0,0,1,0,0,1,0,0,0,1,0,0
Guyana,Guyana,336,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Haiti,Haiti,263,LIC,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Honduras,Honduras,268,LIC,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Hong Kong SAR,HK SAR,532,AE,APD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
